Velocidade do vento (m/s);Potência (kWh)
8,78;1238,67
8,78;1206,3
8,79;1228,18
8,79;1188,97
8,79;1144,54
8,79;1219,24
8,8;1171,86
8,8;1187,56
8,8;1153,75
8,8;1178,63
8,8;1204,89
8,81;1235,08
8,81;1277,64
8,81;1171,12
8,81;1186,8
8,81;1174,1
8,81;1152,98
8,81;1125,4
8,81;1151,07
8,82;1146,27
8,82;1285,04
8,82;1231,39
8,82;1236,72
8,83;1212,49
8,83;1199,8
8,84;1168,55
8,84;1235,73
8,84;1184,81
8,84;1215,22
8,84;1161,59
8,84;1162,59
8,84;1287,65
8,85;1265,68
8,85;1264,2
8,86;1190,07
8,86;1201,8
8,86;1199,22
8,86;1256,8
8,86;1218,21
8,87;1235,24
8,87;1229,01
8,87;1198,38
8,87;1188,76
8,87;1299,52
8,88;1185,7
8,88;1207,3
8,88;1226,72
8,88;1186,45
8,88;1193,66
8,88;1197,75
8,88;1258,1
8,88;-5,96
8,88;1242,25
8,89;1259,9
8,89;1227,21
8,89;1189,07
8,9;1188,49
8,9;1301,14
8,9;1211,52
8,9;1266,91
8,9;1231,15
8,9;1236,44
8,9;1204,93
8,9;1265,83
8,9;1270,33
8,91;1266,68
8,91;1269,89
8,91;1245,4
8,91;1241
8,91;1160,19
8,91;1246,01
8,92;1177,1
8,92;1134,22
8,92;1204,14
8,93;1271,39
8,93;1242,65
8,93;1196,59
8,93;1253,66
8,93;1230,75
8,93;1196,47
8,94;1211,15
8,94;1231,89
8,94;1230,64
8,94;1226,17
8,94;1266,81
8,95;1328,15
8,95;1302,86
8,95;1262,22
8,95;1257,87
8,95;1158,42
8,96;1199,44
8,96;1264,73
8,96;1247,59
8,96;1263,86
8,96;1252,12
8,97;1262,52
8,97;1216,26
8,97;1228,67
8,97;1232,88
8,97;1248,45
8,97;1227,55
8,97;1240,72
8,97;1305,09
8,97;1228,99
8,99;1206,03
8,99;1198,85
9;1238,79
9;1206,9
9;1256,08
9,01;1235,72
9,01;1297,24
9,01;1269,25
9,01;1238,09
9,01;1251,19
9,01;1217,8
9,01;1237,64
9,02;1221,65
9,02;1341,72
9,02;1222,29
9,02;1232,48
9,03;1202,56
9,03;1286,45
9,03;1310,05
9,03;1243,01
9,03;1242,25
9,03;1236,58
9,03;1212,24
9,03;1223,55
9,04;1281,63
9,04;1275,3
9,04;1237,96
9,04;1251,71
9,05;1318,18
9,05;1370,02
9,05;1295,8
9,05;1293,76
9,05;1217,83
9,06;1289,29
9,06;1243,75
9,06;1341,4
9,07;1225,16
9,07;1282,92
9,07;1243,02
9,07;1354,59
9,08;1272,69
9,08;1353,83
9,09;1228,39
9,09;1289,49
9,09;1249,12
9,09;1289,02
9,09;1274,97
9,09;1349,41
9,09;1278,61
9,1;1335,74
9,1;1311,27
9,1;1277,98
9,1;1256,12
9,1;1232,56
9,11;1254,67
9,12;1334,83
9,12;1358,65
9,12;1238,74
9,12;1312,67
9,13;1305,55
9,13;1385,51
9,13;1281,87
9,13;1253,19
9,14;1266,33
9,14;1425,61
9,14;1301,04
9,14;1288,34
9,14;1234,62
9,15;1277,01
9,15;1287,34
9,16;1239,49
9,16;1315,78
9,16;1317,72
9,17;1257,84
9,17;1286,33
9,17;1311,78
9,17;1260,93
9,17;1284,33
9,17;1290,81
9,18;1312,87
9,18;1315,36
9,18;1281,59
9,18;1347,71
9,19;1359,22
9,19;1261,94
9,19;1277,9
9,19;1347,88
9,19;1366,54
9,19;1269,25
9,2;1326,63
9,2;1348,25
9,2;1297,95
9,2;1349,9
9,2;1351,4
9,2;1343,94
9,2;1325,75
9,21;1323,84
9,22;1303,16
9,22;1336,39
9,22;1315,21
9,23;1265,67
9,23;1363,68
9,23;1354,5
9,23;1342,88
9,23;1381,08
9,23;1402,72
9,23;1320,73
9,23;1388,22
9,24;1291,46
9,24;1156,2
9,26;1288,62
9,26;1269,78
9,27;1307,79
9,27;1309,7
9,27;1314,35
9,27;1305,28
9,28;1304,23
9,28;1296,29
9,28;1330,35
9,28;1323,64
9,28;1425,11
9,28;1306,23
9,28;1377,89
9,28;1316,28
9,29;1351,85
9,29;1367,32
9,29;1320,91
9,29;1317,19
9,29;1308,04
9,29;1412,62
9,29;1272,88
9,3;1357,99
9,3;1294
9,3;1326,2
9,3;1378,39
9,3;1314,02
9,3;1326,71
9,31;1362,79
9,31;1336,01
9,31;1304,29
9,32;1343,83
9,32;1328,32
9,32;1380,91
9,32;1344,76
9,33;1351,08
9,33;1319,13
9,33;1341,56
9,33;1299,94
9,33;1346,22
9,33;1441,45
9,34;1410,18
9,34;1318,92
9,34;1337,21
9,35;1426,87
9,35;1404,04
9,35;1361,89
9,35;1329,68
9,35;1372,88
9,35;1428,24
9,35;1382,72
9,36;1348,48
9,36;1355,82
9,37;1324,21
9,37;1380,11
9,37;1415,17
9,37;1407,01
9,37;1311,4
9,37;1320,14
9,37;1417,19
9,37;1341,71
9,37;1326,23
9,38;1361,87
9,39;1316,83
9,39;1431,05
9,39;1469,9
9,39;1317,57
9,39;1319,53
9,4;1359,09
9,4;1394,99
9,4;1354,4
9,4;1343,47
9,41;1359,35
9,41;1350,17
9,42;1401,93
9,42;1382,49
9,42;1373,7
9,42;1374,53
9,42;1362,31
9,43;1364,05
9,43;1397,09
9,43;-5,96
9,44;1329,35
9,45;1330,62
9,45;1432,03
9,45;1447,36
9,45;1391,77
9,46;1447,51
9,46;1327,19
9,46;1360,63
9,46;1442,21
9,46;1379,91
9,46;1437,64
9,47;1382,6
9,47;1404,38
9,47;1447,87
9,47;1420,28
9,47;1379,58
9,47;1374,63
9,48;1394,6
9,48;1429,89
9,48;1425,84
9,48;1424,03
9,49;1463,65
9,49;1433,34
9,49;1347,5
9,49;1403,12
9,5;1457,97
9,5;1403,12
9,5;1371,3
9,5;1387,41
9,5;1394,8
9,5;1401,57
9,51;1431,09
9,51;1362,19
9,51;1428,27
9,51;1383,76
9,52;1331,1
9,52;1397,64
9,52;1383,95
9,52;1417,19
9,52;1356,22
9,53;1382,92
9,53;1390,41
9,53;1490,79
9,54;1387,47
9,54;1360,83
9,54;1390,78
9,55;1409,64
9,55;1389,58
9,55;1378,35
9,56;1404,66
9,56;1403,42
9,56;1462,01
9,56;1417,24
9,57;1465,77
9,57;1446,74
9,57;1418,58
9,57;1458,69
9,57;1404,59
9,57;1417,44
9,57;1454,26
9,57;1409,05
9,58;1433,36
9,58;1464,22
9,58;1387,17
9,58;1420,79
9,58;1466,62
9,59;1441,59
9,59;1440,75
9,59;1438,02
9,59;1410,9
9,6;1425,66
9,6;1435,17
9,6;1387,7
9,6;1468,1
9,6;1462,5
9,6;1493,99
9,6;1383,31
9,6;1381,81
9,61;1418,77
9,61;1441,22
9,62;1382,61
9,62;1469,07
9,62;1419,6
9,62;1427,85
9,62;1500,3
9,62;1438,46
9,62;1407,96
9,63;1386,03
9,63;1413,48
9,63;1407,19
9,64;1485,8
9,64;1461,1
9,64;1454,12
9,65;1471,97
9,65;1479,46
9,66;1404,15
9,66;1410,35
9,66;1449,02
9,66;1398,51
9,66;1448,22
9,67;1432,67
9,67;1442,04
9,67;1438,02
9,67;1435,48
9,67;1466,68
9,67;1450,77
9,68;1479,73
9,68;1448,27
9,68;1448,24
9,69;1471,8
9,69;1445,04
9,7;1381,33
9,7;1478,06
9,7;1489,63
9,7;1480,42
9,7;1461,5
9,7;1448,07
9,71;1455,88
9,71;1436,51
9,71;1442,41
9,72;1473,42
9,72;1461,79
9,72;1436,62
9,73;1506,85
9,73;1426,26
9,73;1538,04
9,74;1472,27
9,74;1469,62
9,75;1516,57
9,75;1477,37
9,76;1471,04
9,76;1458,69
9,77;1481,21
9,77;1486,01
9,77;1479,57
9,78;1485,39
9,78;1450,13
9,78;1499,6
9,79;1533,45
9,79;1464,12
9,8;1495,76
9,8;1510,58
9,8;1533,82
9,8;1436,72
9,8;1442,04
9,8;1431,57
9,8;1543,59
9,81;1411,79
9,81;1537,08
9,81;1544,56
9,81;1467,54
9,82;1473,85
9,82;1484,33
9,83;1512,26
9,84;1476,41
9,84;1506,79
9,84;1493,37
9,84;1506,93
9,85;1520,78
9,85;1463,34
9,85;1529,33
9,85;1495,64
9,85;1506,29
9,86;1459,24
9,86;1471,35
9,86;1507,22
9,87;1525,31
9,87;1496,13
9,87;1545,42
9,87;1514,15
9,87;1528,91
9,87;1497,64
9,88;1473,63
9,89;1536,7
9,89;1514,1
9,9;1554,04
9,9;1539,49
9,9;1494,38
9,9;1475,78
9,9;1485,11
9,91;1489,16
9,91;1542,92
9,91;1543,4
9,91;1537,1
9,91;1526,85
9,92;1522,95
9,92;1516,54
9,92;1473,84
9,92;1540,39
9,92;1588,12
9,92;1499,98
9,93;1539,66
9,93;1492,34
9,94;1528,68
9,95;1545,31
9,95;1534,29
9,96;1564,84
9,96;1529,64
9,96;1574,56
9,97;1554,08
9,97;1523,48
9,97;1505,95
9,98;1553,47
9,98;1554,29
9,98;1533,51
9,98;1554,11
9,98;1485,12
9,99;1530,02
9,99;1525,14
9,99;1527,32
10;1526,51
10,01;1561,37
10,01;1544,18
10,01;1538,4
10,01;1554,21
10,01;1526,87
10,02;1565,34
10,02;1528,38
10,02;1553,76
10,02;1515,96
10,03;1561,19
10,03;1539,43
10,03;1542,88
10,04;1571,78
10,04;1524,55
10,04;1548,15
10,05;1594,6
10,05;1531,33
10,06;1595,96
10,06;1575,9
10,07;1522,94
10,07;1587,57
10,07;1532,4
10,08;1547,83
10,09;1517,24
10,09;1539,06
10,09;1574,56
10,09;1579,67
10,09;1543,26
10,09;1559,85
10,11;1558,71
10,12;1571,68
10,12;1533,55
10,13;1571,41
10,13;1567,45
10,13;1577,6
10,13;1586,38
10,14;1585,76
10,14;1583,24
10,14;1579,65
10,14;1618,67
10,14;1562,41
10,14;1527,49
10,15;1569,83
10,15;1614,73
10,15;1583,08
10,15;1599,08
10,15;1582,22
10,16;1571,39
10,16;1589,12
10,16;1598,77
10,16;1582,15
10,16;1597,75
10,16;1589,26
10,16;1584,79
10,16;1617,81
10,17;1592,3
10,17;1617,29
10,17;1613,29
10,17;1601,96
10,18;1599,57
10,18;1593,27
10,18;1631,97
10,19;1600,02
10,19;1543,76
10,19;1576,75
10,2;1613,06
10,2;1614,82
10,2;1622,62
10,21;1595,54
10,21;1556,28
10,21;1584,04
10,22;1583,02
10,23;1582,11
10,23;1575,75
10,23;1597,88
10,23;1610,06
10,23;1575,8
10,23;1651,97
10,23;1590,9
10,23;1580,71
10,24;1602,26
10,24;1661,87
10,24;1582,53
10,25;1623,2
10,25;1625,09
10,27;1616,27
10,27;1615,1
10,27;1616,87
10,28;1612,89
10,28;1639,72
10,28;1641,69
10,28;1587,13
10,29;1603,9
10,29;1626,94
10,29;1594,66
10,3;1585,32
10,3;1615,38
10,3;1580,34
10,3;1590,14
10,32;1595,02
10,33;1616,55
10,33;1625,77
10,35;1624,46
10,37;1621,53
10,37;1652,8
10,37;1636,59
10,37;1635,91
10,37;1594,3
10,38;1669,33
10,38;1644,13
10,39;1632,1
10,39;1622,84
10,4;1634,36
10,4;1620,78
10,41;1673,81
10,42;1593,19
10,43;1660,93
10,43;1617,83
10,44;1586,15
10,46;1647,5
10,46;1586,83
10,47;1656,05
10,47;1630,73
10,48;1663,36
10,48;1574,36
10,49;1672,64
10,49;1577,98
10,49;1646,34
10,5;1663,63
10,5;1615,73
10,51;1631,12
10,52;1695
10,52;1629,09
10,52;1685,62
10,52;1622,95
10,53;1645
10,53;1658,99
10,54;1637,14
10,54;1664,76
10,54;1596,49
10,56;1653,76
10,57;1666,85
10,6;1659,31
10,6;1646,86
10,61;1704,65
10,61;1678,22
10,61;1608,68
10,62;1653,7
10,63;1677,76
10,63;1598,12
10,63;1684,4
10,63;1668,92
10,63;1584,58
10,63;1690
10,64;1682,81
10,64;1698,82
10,64;1691,54
10,65;1674,26
10,65;1686,08
10,65;1663,56
10,65;1650,05
10,66;1652,48
10,67;1686,5
10,67;1651,77
10,69;1678,76
10,69;1685,09
10,69;1669,56
10,69;1651,59
10,69;1670,41
10,69;1652
10,7;1656,63
10,71;1682,32
10,71;1651,42
10,72;1681,31
10,73;1714,77
10,73;1619,8
10,73;1655,23
10,74;1690,53
10,74;1664,4
10,75;1694,7
10,75;1697,38
10,76;1677,8
10,76;1659,11
10,76;1700,83
10,77;1697,79
10,77;1696,73
10,77;1688,61
10,78;1682,15
10,78;1654,66
10,79;1695,43
10,79;1661,87
10,79;1675,84
10,8;1696,25
10,8;1666,42
10,8;1703,76
10,8;1679,36
10,82;1686,32
10,83;1710,24
10,83;1696,48
10,84;1633,73
10,84;1677,67
10,86;1672,29
10,86;1702,28
10,87;1664,77
10,87;1713
10,88;1704,18
10,88;1714,85
10,89;1713,51
10,9;1711,72
10,92;1697,33
10,93;1685,6
10,93;1690,97
10,93;1672,53
10,93;1706,45
10,93;1704,78
10,94;1710,41
10,95;1681,62
10,95;1589,73
10,96;1690,41
10,97;1691,15
10,98;1691,37
10,98;1703,56
10,99;1696,96
11,01;1677,47
11,01;1671,3
11,02;1706,32
11,02;1718,09
11,03;1655,84
11,04;1722,67
11,09;1711,31
11,09;1706,49
11,1;1719,66
11,1;1667,14
11,12;1717,9
11,14;1698,65
11,14;1690,83
11,16;1686,97
11,17;1687,63
11,19;1715,57
11,19;1685,31
11,19;1714,44
11,2;1714,4
11,2;1697,74
11,2;1710,45
11,2;1695,94
11,21;1708,2
11,23;1683,22
11,24;1705,64
11,25;1709,3
11,25;1717,89
11,26;1686,72
11,27;1721,61
11,27;1696,91
11,29;1720,49
11,3;1720,44
11,32;1701,56
11,32;1721,87
11,32;1686,18
11,34;1705,81
11,34;1674,53
11,36;1688,17
11,37;1712,65
11,37;1716,46
11,41;1709,26
11,42;1697,17
11,46;1716,2
11,47;1702,75
11,48;1694,29
11,48;1709,87
11,48;1720,89
11,5;1721,23
11,51;1722,67
11,59;1722,43
11,61;1714,74
11,61;1720,48
11,64;1722,2
11,65;1721,32
11,67;1717,37
11,68;1722,85
11,69;1718,87
11,71;1662,16
11,73;1718,53
11,83;1712,96
11,86;1715,88
11,87;1720,88
11,87;1722,75
11,91;1709,6
11,91;1634,84
11,92;1722,87
11,96;1722,43
11,96;1721,94
11,97;1722,88
11,97;1718,7
11,98;1722,84
12,02;1720,92
12,04;1721,98
12,14;1721,5
12,17;1719,84
12,2;1720,05
12,29;1722,87
12,33;1722,62
12,66;1722,33
